Identifier,Strain,Country,154,424,577,580,802,960,1644,1955,2059,2163b,2165,2347,2401,2461,2531,2687,2996,3007,3171,3192,3690,4052,4156,4348,INH,SM,EMB,RMP,PZA
3342/02,M. tuberculosis,Haarlem,2,2,3,2,3,5,3,1,2,3,3,4,4,2,5,1,5,1,3,3,3,6,3,2,r,s,r,r,s
3364/02,M. tuberculosis,Beijing,2,4,4,2,3,3,3,5,2,6,4,4,4,2,5,1,5,3,3,5,3,8,2,3,r,r,s,s,s
3482/03,M. africanum,West African 1,2,3,4,2,1,4,4,2,2,6,4,3,4,2,4,2,4,2,3,2,3,3,3,2,s,s,s,s,s
3686/03,M. tuberculosis,Haarlem,2,2,3,2,2,4,3,3,2,4,3,4,4,2,5,1,5,3,3,3,4,6,3,2,s,s,s,s,s
3995/03,M. tuberculosis,LAM,2,3,2,2,4,4,3,3,2,3,2,4,2,2,6,1,5,3,1,3,1,4,2,2,s,s,s,s,s
4058/03,M. tuberculosis,EAI,2,2,4,5,4,4,3,6,2,3,6,3,1,1,4,2,2,3,3,4,4,5,1,3,s,s,s,s,s
4130/02,M. tuberculosis,Haarlem,2,2,3,2,3,5,3,3,2,4,3,4,4,2,5,1,5,3,3,3,3,5,3,2,s,s,s,s,s
417/01,M. microti,llama,2,3,5,6,2,5,6,3,1,9,9,3,4,3,4,2,2,2,3,1,2,9,3,2,?,?,?,?,?
4192/03,M. tuberculosis,Haarlem,2,2,3,2,3,2,3,3,2,6,3,4,4,2,5,1,5,3,3,3,3,6,3,2,s,s,s,s,s
4217/02,M. tuberculosis,Haarlem,2,2,3,2,2,4,3,3,2,6,3,4,4,2,2,1,5,3,3,3,4,7,3,2,?,?,?,?,?
4258/00,M. bovis,Bovis,2,1,3,3,2,2,3,3,2,2,6,3,4,6,4,2,5,3,3,2,2,5,1,2,?,?,?,?,?
4412/04,M. tuberculosis,X,2,2,3,2,5,4,3,4,2,4,3,4,4,2,5,1,5,3,3,3,6,8,3,2,s,s,s,s,s
4428/02,M. tuberculosis,LAM,2,3,4,2,6,4,3,3,2,1,1,4,1,2,7,1,5,3,3,2,2,6,2,2,r,s,s,r,s
4431/02,M. tuberculosis,LAM,1,3,2,2,5,4,3,3,2,2,2,4,1,2,5,1,4,3,3,2,2,5,2,2,r,r,s,s,r
4436/02,M. tuberculosis,Beijing,2,4,4,2,3,3,3,5,2,6,4,4,4,2,5,1,7,3,3,5,3,7,2,3,r,r,s,s,s
4445/02,M. tuberculosis,Beijing,2,4,4,2,3,3,3,5,2,6,3,3,4,2,5,1,5,3,3,5,3,8,2,3,r,r,r,r,s
4498/02,M. tuberculosis,Beijing,2,4,4,2,3,3,3,6,2,6,4,4,4,2,5,1,5,3,3,5,3,8,2,3,r,r,s,s,s
4499/02,M. tuberculosis,Beijing,2,4,4,2,3,3,3,3,2,6,4,4,4,2,5,1,5,3,3,5,3,8,2,3,r,r,s,s,s
4526/04,M. tuberculosis,S,3,3,4,3,5,3,2,1,2,3,4,4,2,2,5,1,4,3,2,3,3,8,2,2,?,?,?,?,?
4802/03,M. africanum,West African 1,2,2,4,2,1,4,6,2,2,5,4,3,4,2,4,2,4,4,3,2,3,2,3,2,s,s,s,s,s
4804/03,M. africanum,West African 1,2,1,4,2,1,4,4,2,2,3,4,3,4,2,4,2,4,3,3,2,3,2,3,2,s,s,s,s,s
4850/03,M. tuberculosis,EAI,2,2,4,5,4,3,3,6,2,3,6,3,1,1,7,2,2,3,3,3,4,5,1,3,s,s,s,s,s
4993/02,M. tuberculosis,Haarlem,2,3,3,2,3,5,3,3,2,4,3,4,4,2,5,1,5,3,3,3,3,5,3,2,?,?,?,?,?
5346/02,M. bovis,Bovis,2,2,3,2,2,2,3,3,2,3,3,3,4,4,4,2,5,3,3,3,2,4,1,2,?,?,?,?,?
5357/02,M. tuberculosis,Ghana,2,2,3,2,7,3,3,4,2,4,3,4,5,2,5,1,4,3,2,3,3,6,1,3,r,s,s,s,s
5358/99,M. caprae,Caprae,2,4,5,3,2,6,2,3,2,4,5,3,4,3,4,2,4,3,2,5,1,3,3,2,s,s,s,s,s
5383/02,M. africanum,West African 2,2,3,5,2,2,5,4,4,2,5,6,3,4,3,4,2,4,3,3,5,4,6,3,2,s,s,s,s,s
5390/02,M. tuberculosis,Cameroon,2,2,4,2,3,3,2,3,1,6,3,4,2,2,5,1,5,3,3,3,8,5,3,2,s,s,s,s,s
5398/02,M. africanum,West African 1,2,2,4,2,1,4,4,2,2,3,4,3,4,2,4,2,4,4,3,2,3,3,3,2,s,s,s,s,s
5400/02,M. tuberculosis,Cameroon,2,2,4,2,3,4,3,3,1,5,3,4,2,2,5,1,5,3,3,3,7,5,2,2,s,s,s,s,s
5429/02,M. tuberculosis,Cameroon,2,2,4,2,3,3,3,3,1,5,4,4,2,2,5,1,5,3,3,3,10,5,2,2,s,s,s,s,s
5432/02,M. africanum,West African 1,2,1,4,2,1,4,4,2,2,3,4,3,4,2,4,2,4,3,3,2,3,2,3,2,r,r,s,s,s
5434/02,M. africanum,West African 1,2,3,4,2,1,3,4,2,2,3+6,4,3,4,2,4,2,4,4,3,2,3,3,3,2,s,r,s,s,s
5468/02,M. africanum,West African 2,2,3,5,2,1,7,4,4,2,6,6,3,4,4,4,2,4,3,3,5,4,6,4,2,s,s,s,s,s
5473/02,M. africanum,West African 1,2,3,6,2,1,3,4,2,2,5,4,3,4,2,4,2,4,4,3,2,3,3,4,2,r,r,s,r,s
6006/03,M. tuberculosis,EAI,2,2,2,4,3,4,3,3,2,8,8,3,2,4,6,1,2,3,3,4,5,4,1,1,s,s,s,s,s
6411/05,M. tuberculosis,S,3,3,4,3,5,3,3,1,2,4,3,4,2,2,5,1,5,4,2,3,4,4,0,2,s,s,s,s,s
6424/05,M. tuberculosis,S,3,3,4,3,4,3,3,1,2,3,4,4,2,2,5,1,4,3,2,3,3,8,2,2,?,?,?,?,?
6427/01,M. tuberculosis,Delhi/CAS,2,5,2,2,3,5,4,4,2,2,4,4,2,2,6,1,7,3,3,5,2,8,4,2,r,r,s,r,s
6538/03,M. tuberculosis,EAI,2,2,4,5,3,4,3,4,2,3,6,3,1,4,6,2,2,3,3,5,4,6,1,3,s,s,s,s,s
6946/03,M. tuberculosis,Haarlem,2,2,3,2,2,4,3,3,2,6,3,4,4,2,2,1,5,3,3,3,4,7,3,2,s,s,s,s,s
6997/99,M. microti,llama,2,3,5,6,2,5,6,3,1,2,4,3,4,3,4,2,2,2,3,1,2,6,3,2,?,?,?,?,?
7011/02,M. pinnipedii,Seal,2,3,4,5,2,6,4,4,2,9,9,3,4,3,4,2,2,2,3,3,3,7,0,2,s,s,s,s,s
7072/01,M. bovis,Bovis,2,2,5,3,2,2,3,3,2,4,5,3,4,1,4,2,6,3,2,3,2,6,1,2,?,?,?,?,?
7140/99,M. caprae,Caprae,2,3,6,2,2,5,4,2,2,4,4,3,4,3,4,2,5,3,2,5,1,3,3,2,?,?,?,?,?
7190/03,M. tuberculosis,EAI,2,2,4,5,3,4,4,6,2,9,6,3,2,1,6,2,2,3,3,5,5,6,1,3,?,?,?,?,?
742/06,M. tuberculosis,S,3,4,4,3,5,2,3,1,2,5,3,2,2,2,5,1,5,3,3,3,3,8,2,2,?,?,?,?,?
7507/01,M. tuberculosis,Delhi/CAS,2,4,2,2,3,6,4,5,2,2,4,4,2,2,5,1,9,3,3,4,3,8,4,3,s,r,s,s,s
751/01,M. bovis,Bovis,2,2,5,3,2,2,3,3,2,4,5,3,4,3,4,2,6,3,2,3,2,6,1,2,s,s,s,s,r
7540/01,M. bovis,Bovis,2,0,5,3,2,2,3,1,2,4,4,3,4,5,4,2,5,2,3,3,2,4,1,2,?,?,?,?,?
7618/99,M. caprae,Caprae,2,3,3,4,2,6,4,1,2,4,5,3,4,3,4,2,5,3,2,6,1,2,2,2,?,?,?,?,?
7739/01,M. pinnipedii,Seal,2,3,4,5,2,6,4,4,2,9,9,3,4,3,4,2,2,2,3,3,3,7,0,2,s,s,s,s,s
7746/01,M. tuberculosis,Delhi/CAS,2,3,2,2,3,6,2,4,2,2,4,4,2,2,5,1,7,3,3,5,3,2,2,3,s,r,s,s,s
7747/01,M. tuberculosis,Delhi/CAS,2,5,2,2,3,5,4,4,2,2,4,4,2,2,6,1,4,3,3,5,2,7,4,2,s,s,s,s,s
7936/01,M. tuberculosis,Delhi/CAS,2,5,2,2,3,5,2,4,2,2,4,4,2,2,6,1,7,3,3,5,2,8,4,2,s,s,s,s,s
7955/03,M. tuberculosis,S,2,3,4,3,4,3,2,1,2,4,4,4,2,2,5,1,5,3,3,3,3,10,2,2,s,s,s,s,s
7968/03,M. tuberculosis,LAM,2,3,2,2,3,4,3,3,2,4,2,4,2,2,6,1,5,3,1,3,1,4,2,2,s,s,s,s,s
